entry_time,exit_time,direction,entry_price,exit_price,pnl,hold_bars
2023-08-30 13:15:00,2023-08-30 14:30:00,LONG,1216.0,1224.3,794999.9999999955,5
2023-09-05 14:15:00,2023-09-05 14:30:00,LONG,1242.0,1242.1,-25000.000000009095,1
2023-09-06 13:45:00,2023-09-06 14:30:00,LONG,1243.3,1264.5,2085000.0000000047,3
2023-09-07 10:45:00,2023-09-07 11:30:00,SHORT,1256.8,1255.0,144999.99999999546,3
2023-09-08 14:00:00,2023-09-08 14:30:00,SHORT,1251.0,1250.0,65000.0,2
2023-09-13 13:45:00,2023-09-13 14:30:00,SHORT,1253.8,1244.9,854999.9999999864,3
2023-09-14 10:45:00,2023-09-14 11:30:00,SHORT,1242.4,1240.8,125000.00000001365,3
2023-09-15 10:45:00,2023-09-15 11:30:00,SHORT,1237.7,1234.7,265000.0,3
2023-09-15 13:45:00,2023-09-15 14:30:00,LONG,1242.0,1240.5,-185000.0,3
2023-09-22 10:00:00,2023-09-22 11:30:00,SHORT,1188.8,1185.0,344999.99999999546,6
2023-09-25 13:30:00,2023-09-25 14:30:00,SHORT,1186.3,1163.0,2294999.9999999953,4
2023-09-26 10:15:00,2023-09-26 11:30:00,LONG,1170.4,1156.4,-1435000.0,5
2023-09-26 14:15:00,2023-09-26 14:30:00,SHORT,1160.1,1152.0,774999.9999999909,1
2023-09-27 10:45:00,2023-09-27 11:30:00,SHORT,1151.7,1150.7,65000.0,3
2023-09-27 14:00:00,2023-09-27 14:30:00,LONG,1159.6,1162.5,255000.00000000908,2
2023-09-28 14:15:00,2023-09-28 14:30:00,SHORT,1158.1,1162.0,-425000.0000000091,1
2023-10-03 10:45:00,2023-10-03 11:30:00,SHORT,1140.4,1136.1,395000.00000001816,3
2023-10-05 14:00:00,2023-10-05 14:30:00,SHORT,1128.9,1120.0,855000.0000000091,2
2023-10-11 13:45:00,2023-10-11 14:30:00,LONG,1159.6,1166.0,605000.0000000091,3
2023-10-12 11:15:00,2023-10-12 11:30:00,SHORT,1166.1,1165.8,-5000.0000000045475,1
2023-10-13 11:15:00,2023-10-13 11:30:00,SHORT,1149.4,1149.1,-4999.99999998181,1
2023-10-13 14:15:00,2023-10-13 14:30:00,LONG,1163.0,1161.1,-225000.00000000908,1
2023-10-17 14:00:00,2023-10-17 14:30:00,SHORT,1150.0,1132.3,1735000.0000000047,2
2023-10-18 11:15:00,2023-10-18 11:30:00,LONG,1141.3,1141.5,-14999.999999995453,1
2023-10-18 13:45:00,2023-10-18 14:30:00,SHORT,1135.2,1124.9,994999.9999999955,3
2023-10-20 13:15:00,2023-10-20 14:30:00,LONG,1108.7,1116.2,715000.0,5
2023-10-24 13:15:00,2023-10-24 14:30:00,LONG,1114.5,1112.0,-285000.0,5
2023-10-25 14:15:00,2023-10-25 14:30:00,SHORT,1111.8,1109.0,244999.99999999546,1
2023-10-30 13:45:00,2023-10-30 14:15:00,LONG,1065.6,1050.0,-1594999.999999991,2
2023-10-30 14:15:00,2023-10-30 14:30:00,SHORT,1050.0,1039.9,974999.9999999909,1
2023-10-31 14:00:00,2023-10-31 14:30:00,SHORT,1042.4,1039.9,215000.0,2
2023-11-01 10:45:00,2023-11-01 11:30:00,LONG,1048.2,1046.9,-164999.99999999546,3
2023-11-01 13:15:00,2023-11-01 14:30:00,SHORT,1043.3,1047.7,-475000.0000000091,5
2023-11-03 14:00:00,2023-11-03 14:30:00,SHORT,1087.9,1088.0,-44999.999999990905,2
2023-11-06 13:30:00,2023-11-06 14:30:00,LONG,1103.8,1105.8,165000.0,4
2023-11-07 13:15:00,2023-11-07 14:30:00,SHORT,1096.5,1095.0,115000.0,5
2023-11-08 13:30:00,2023-11-08 14:30:00,LONG,1098.7,1134.0,3494999.9999999953,4
2023-11-09 13:15:00,2023-11-09 14:30:00,SHORT,1128.2,1125.0,285000.00000000454,5
2023-11-13 13:15:00,2023-11-13 14:30:00,LONG,1114.0,1107.0,-735000.0,5
2023-11-14 13:45:00,2023-11-14 14:30:00,SHORT,1113.6,1120.0,-675000.0000000091,3
2023-11-15 13:45:00,2023-11-15 14:30:00,SHORT,1140.2,1134.0,585000.0000000045,3
2023-11-16 13:45:00,2023-11-16 14:30:00,SHORT,1126.9,1125.1,145000.0000000182,3
2023-11-22 11:15:00,2023-11-22 11:30:00,SHORT,1102.3,1101.7,24999.999999990905,1
2023-11-24 14:00:00,2023-11-24 14:15:00,SHORT,1068.7,1083.7,-1535000.0,1
2023-11-27 14:15:00,2023-11-27 14:30:00,SHORT,1076.9,1076.0,55000.000000009095,1
2023-11-28 14:00:00,2023-11-28 14:30:00,LONG,1080.7,1087.1,604999.9999999864,2
2023-11-29 13:15:00,2023-11-29 14:30:00,LONG,1091.7,1092.1,4999.999999986358,5
2023-11-30 13:15:00,2023-11-30 14:15:00,LONG,1093.4,1081.3,-1245000.0000000137,4
2023-12-01 14:00:00,2023-12-01 14:30:00,LONG,1087.1,1090.1,265000.0,2
2023-12-06 13:45:00,2023-12-06 14:30:00,LONG,1105.6,1111.0,505000.0000000091,3
2023-12-11 14:00:00,2023-12-11 14:30:00,LONG,1117.8,1117.0,-114999.99999999546,2
