entry_time,exit_time,direction,entry_price,exit_price,pnl,hold_bars
2025-10-24 13:30:00,2025-10-24 14:30:00,LONG,1947.6,1937.5,-1044999.9999999909,4
2025-10-28 13:45:00,2025-10-28 14:30:00,LONG,1905.8,1940.9,3475000.0000000135,3
2025-10-31 13:45:00,2025-10-31 14:30:00,SHORT,1905.1,1892.0,1274999.999999991,3
2025-11-03 11:15:00,2025-11-03 13:00:00,LONG,1910.9,1902.4,-885000.0,1
2025-11-03 13:45:00,2025-11-03 14:30:00,SHORT,1889.5,1860.0,2915000.0,3
2025-11-04 13:30:00,2025-11-04 14:30:00,LONG,1873.2,1898.0,2444999.9999999953,4
2025-11-06 13:30:00,2025-11-06 14:30:00,SHORT,1877.0,1866.5,1015000.0,4
2025-11-10 11:00:00,2025-11-10 13:00:00,LONG,1834.3,1830.7,-394999.9999999909,2
2025-11-10 14:15:00,2025-11-10 14:30:00,SHORT,1809.5,1801.3,785000.0000000045,1
2025-11-11 13:30:00,2025-11-11 14:30:00,LONG,1819.3,1815.1,-455000.00000000454,4
2025-11-13 13:30:00,2025-11-13 14:30:00,LONG,1876.0,1863.0,-1335000.0,4
2025-11-17 14:00:00,2025-11-17 14:30:00,LONG,1893.1,1895.2,175000.00000001365,2
2025-11-18 13:15:00,2025-11-18 14:30:00,SHORT,1882.0,1898.0,-1635000.0,5
2025-11-19 14:15:00,2025-11-19 14:30:00,SHORT,1881.5,1885.8,-464999.99999999546,1
2025-11-21 13:15:00,2025-11-21 14:30:00,LONG,1878.0,1892.4,1405000.000000009,5
2025-11-25 13:15:00,2025-11-25 14:30:00,LONG,1917.1,1908.1,-935000.0,5
2025-11-27 14:00:00,2025-11-27 14:30:00,SHORT,1923.0,1921.0,165000.0,2
2025-11-28 14:00:00,2025-11-28 14:30:00,SHORT,1918.2,1923.0,-514999.99999999546,2
2025-12-02 13:45:00,2025-12-02 14:30:00,LONG,1935.0,1947.0,1165000.0,3
2025-12-08 14:15:00,2025-12-08 14:30:00,LONG,1984.0,1984.0,-35000.0,1
2025-12-10 13:30:00,2025-12-10 14:30:00,SHORT,1951.9,1935.0,1655000.000000009,4
2025-12-11 13:15:00,2025-12-11 14:30:00,SHORT,1930.7,1919.1,1125000.0000000137,5
2025-12-15 13:45:00,2025-12-15 14:30:00,SHORT,1861.1,1868.5,-775000.0000000091,3
2025-12-16 11:00:00,2025-12-16 13:00:00,SHORT,1868.4,1885.7,-1764999.9999999953,2
2025-12-18 13:45:00,2025-12-18 14:30:00,LONG,1898.2,1899.1,54999.99999998635,3
2025-12-19 13:45:00,2025-12-19 14:30:00,LONG,1930.9,1936.9,565000.0,3
2025-12-24 10:15:00,2025-12-24 11:30:00,LONG,2021.6,2018.3,-364999.99999999546,5
2025-12-25 13:30:00,2025-12-25 14:30:00,LONG,2034.0,1950.0,-8435000.0,4
2025-12-30 14:15:00,2025-12-30 14:30:00,LONG,2005.1,2014.1,865000.0,1
